Calibrated,Energy Transfer,RIXS
11568.25,0.25,2.0716465792896647e-05
11568.5,0.5,2.3730428919262983e-05
11568.75,0.75,1.984859949728478e-05
11569.0,1.0,1.447976059885068e-05
11569.25,1.25,9.387489245411795e-06
11569.5,1.5,4.342484615786306e-06
11569.75,1.75,1.5945017182130582e-06
11570.0,2.0,8.805469297117172e-07
11570.25,2.25,2.9367241484532414e-07
11570.5,2.5,1.6486052799331767e-07
11570.75,2.75,2.1987263877399016e-07
11571.0,3.0,3.1165240856897465e-07
11571.25,3.25,2.7469433387997504e-07
11571.5,3.5,2.016036655211913e-07
11571.75,3.75,4.2175987559917407e-07
11572.0,4.0,4.951754778099489e-07
11572.25,4.25,4.951754778099489e-07
11572.5,4.5,8.799597418418108e-07
11572.75,4.75,7.888232912000801e-07
11573.0,5.0,5.498281786941581e-07
11573.25,5.25,5.135153103214285e-07
11573.5,5.5,4.395694966242436e-07
11573.75,5.75,6.052144728788265e-07
11574.0,6.0,5.139953593561841e-07
11574.25,6.25,4.949773547860186e-07
11574.5,6.5,2.9371163391781954e-07
11574.75,6.75,2.9367241484532414e-07
11575.0,7.0,3.4929568661191e-07
11575.25,7.25,3.11777152695153e-07
11575.5,7.5,2.565180785696552e-07
11575.75,7.75,2.3838601664301144e-07
11576.0,8.0,2.0179200472560185e-07
11576.25,8.25,1.1002431537369759e-07
11576.5,8.5,2.2001927918933898e-07
11576.75,8.75,1.833249462170439e-07
11577.0,9.0,1.8337385895616266e-07
11577.25,9.25,2.2034257762255866e-07
11577.5,9.5,2.935156432372391e-07
11577.75,9.75,2.3867257656685105e-07
11578.0,10.0,2.019806961540121e-07
11578.25,10.25,1.837415381279769e-07
11578.5,10.5,1.286534714152663e-07
11578.75,10.75,1.2843023394484473e-07
11579.0,11.0,2.201367324279293e-07
11579.25,11.25,1.2861907668958385e-07
11579.5,11.5,2.0189978520616034e-07
11579.75,11.75,2.9367241484532414e-07
11580.0,12.0,1.8347176277834961e-07
11580.25,12.25,2.203720155086806e-07
11580.5,12.5,1.1023018819048878e-07
11580.75,12.75,2.3899178557657e-07
11581.0,13.0,2.02061671977674e-07
11581.25,13.25,2.5737576908246e-07
11581.5,13.5,1.8369242907061274e-07
11581.75,13.75,1.835942896668085e-07
11700.5,132.5,1.2807125152599184e-07
11700.7,132.7,2.5631308276898686e-07
11700.9,132.9,2.568261878325842e-07
11701.1,133.1,2.754650193858507e-07
11701.3,133.3,1.286534714152663e-07
11701.5,133.5,2.3998678226645364e-07
11701.7,133.7,2.042452372563737e-07
11701.9,133.9,1.4902511958101585e-07
11702.1,134.1,2.2290331568682082e-07
11702.3,134.3,2.3918372115593813e-07
11702.5,134.5,3.301169852066326e-07
11702.7,134.7,2.7535465679795574e-07
11702.9,134.9,2.394080360069686e-07
11703.1,135.1,2.404712125899628e-07
11703.3,135.3,1.115119345647968e-07
11703.5,135.5,2.788552434545703e-07
11703.7,135.7,1.6603320387355464e-07
11703.9,135.9,2.744749294599431e-07
11704.1,136.1,2.0090718727198175e-07
11704.3,136.3,1.643349365119362e-07
11704.5,136.5,2.373096388786207e-07
11704.7,136.7,3.1024558675652837e-07
11704.9,136.9,2.191423589853161e-07
11705.1,137.1,1.8276431947020279e-07
11705.3,137.3,2.918408591794894e-07
11705.5,137.5,2.189096929107464e-07
11567.0,-0.75,3.632716249848074e-06
11567.25,-0.5,7.247177644169273e-06
11567.5,-0.25,9.69853625161254e-06
11567.75,0.0,1.3311363679274069e-05
11568.0,0.25,1.7303280139740412e-05
11568.25,0.5,1.8236600671347866e-05
11568.5,0.75,1.7558813812690167e-05
11568.75,1.0,1.247476508446585e-05
11569.0,1.25,8.446215850322232e-06
11569.25,1.5,4.020926362947822e-06
11569.5,1.75,1.8992698841321187e-06
11569.75,2.0,9.87087325751211e-07
11570.0,2.25,4.3888247063912843e-07
11570.25,2.5,3.2894067178530026e-07
11570.5,2.75,2.9278518383999994e-07
11570.75,3.0,3.2902910858373696e-07
11571.0,3.25,2.7396995061052376e-07
11571.25,3.5,2.740435687619709e-07
11571.5,3.75,2.9243100821438704e-07
