YEAR,BRAND,PAGE,ENTRY,PRICE,MILES,SHIPPING,dummy,CHEVROLET,FORD,HYUNDAI,TOYOTA,JEEP,VOLKSWAGEN,NISSAN,KIA,BUICK,DODGE,HONDA,GMC,SUBARU,INFINITI,MAZDA,CADILLAC,FIAT,LEXUS,BMW
2017,CHEVROLET,7,11,17300,15719,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,CHEVROLET,7,12,14400,37481,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,DODGE,7,13,20000,29986,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2017,KIA,7,14,18300,23620,300,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2017,VOLKSWAGEN,7,15,14000,16770,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,KIA,7,16,16600,34515,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2018,DODGE,7,17,14300,47526,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2016,CHEVROLET,7,18,11300,27831,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,JEEP,7,19,25000,35070,200,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,CHEVROLET,7,20,17000,32435,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,FORD,8,1,20900,26155,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,KIA,8,2,14400,12221,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2018,KIA,8,3,13900,40416,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2017,CHEVROLET,8,4,19800,42022,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,JEEP,8,5,16000,30952,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,FORD,8,6,17000,8824,200,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,KIA,8,7,14000,7651,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2016,BMW,8,8,20300,54359,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2017,KIA,8,9,14400,32762,300,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2016,KIA,8,10,13900,31672,300,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2017,JEEP,8,11,22900,34797,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,JEEP,8,12,14500,73940,200,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,CHEVROLET,8,13,16300,11644,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,JEEP,8,14,16900,31695,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,BUICK,8,15,14900,27415,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2017,BUICK,8,16,15500,27664,200,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
